timestep,seed,run_type,mean_episode_reward,success_rate,policy_entropy,grad_norm,delta_norm,llc,intervention_flag,current_lr,elapsed_sec
1024,0,baseline,0.0,,1.9458966255187988,,,,0,0.00025,1.32680082321167
2048,0,baseline,0.0,,1.939294457435608,,,,0,0.00025,2.9494645595550537
3072,0,baseline,0.0,,1.9391552209854126,,,,0,0.00025,4.582573413848877
4096,0,baseline,0.0,,1.9277361631393433,,,,0,0.00025,6.209422826766968
5120,0,baseline,0.018884615384615385,,1.913489580154419,,,,0,0.00025,7.832969665527344
6144,0,baseline,0.015838709677419356,,1.9117140769958496,,,,0,0.00025,9.433692693710327
7168,0,baseline,0.013638888888888888,,1.9134366512298584,,,,0,0.00025,11.076712131500244
8192,0,baseline,0.011975609756097561,,1.9262001514434814,,,,0,0.00025,12.700679302215576
9216,0,baseline,0.010559139784946237,,1.906912922859192,,,,0,0.00025,14.312108755111694
10240,0,baseline,0.00982,,1.921942114830017,,,,0,0.00025,15.925380229949951
